absolute_mixing_share,degenerate_group_index,excitation_gap_hartree,excited_energy_hartree,first_state_index,formula_id,last_state_index,mixing_contribution_hartree,squared_d4_coupling,state_count,system_id
1.0915210310659691e-33,10,1.0604059685798364,-0.7745036666381158,11,two_term_center,11,-8.828394840723298e-42,9.361682582082419e-42,1,H4
5.319120335147117e-32,11,1.1829471132482374,-0.6519625219697148,12,two_term_center,12,-4.302188706170799e-40,5.089261710613916e-40,1,H4
8.63234880702433e-33,12,1.222412052510143,-0.6124975827078092,13,two_term_center,13,-6.981980328572482e-41,8.53485690403573e-41,1,H4
0.027304692087618664,13,1.2231371638814266,-0.6117724713365257,14,two_term_center,14,-2.2084467077877305e-10,2.7012332427467584e-10,1,H4
4.076363124702547e-05,14,1.386852225071333,-0.448057410146619,15,two_term_center,15,-3.2970270067900915e-13,4.572489240487116e-13,1,H4
0.00019277911787766045,15,1.4466950842493214,-0.38821455096863083,16,two_term_center,16,-1.5592280141485107e-12,2.2557275032924817e-12,1,H4
8.819020455500519e-32,16,1.4657392678310055,-0.36917036738694675,17,two_term_center,17,-7.1329633120801e-40,1.045506442251371e-39,1,H4
6.999912903057269e-06,17,1.5270082580205764,-0.30790137719737587,18,two_term_center,18,-5.661640334910624e-14,8.645371545350905e-14,1,H4
1.0602485475264175e-31,18,1.5417422950892887,-0.29316734012866336,19,two_term_center,19,-8.575458044748273e-40,1.3221146367352106e-39,1,H4
0.12769160764538875,19,1.6148300439093695,-0.22007959130858268,20,two_term_center,20,-1.0327899307989436e-09,1.6677802093012126e-09,1,H4
0.1696862844713639,20,1.6909190569330883,-0.14399057828486375,21,two_term_center,21,-1.3724495229427747e-09,2.3207010530226635e-09,1,H4
2.641860943576244e-33,21,1.7543717147955356,-0.08053792042241656,22,two_term_center,22,-2.1367789406127605e-41,3.7487045341817965e-41,1,H4
4.618235032053618e-31,22,1.7843624497414337,-0.050547185476518444,23,two_term_center,23,-3.735301580988558e-39,6.665131879575793e-39,1,H4
6.196023779747005e-31,23,1.9072512938125754,0.07234165859462317,24,two_term_center,24,-5.011442089823675e-39,9.558079409683001e-39,1,H4
4.0303832695659716e-05,24,1.9083022446399358,0.07339260942198376,25,two_term_center,25,-3.2598377722896327e-13,6.220755738022354e-13,1,H4
6.732815123290839e-29,25,1.9493303433535765,0.11442070813562433,26,two_term_center,26,-5.445607423611082e-37,1.0615287788836574e-36,1,H4
0.03444587270625659,26,1.9879670253887332,0.15305739017078104,27,two_term_center,27,-2.7860366976818047e-10,5.538549086514347e-10,1,H4
0.2729174651624228,27,2.0798111338616896,0.24490149864373725,28,two_term_center,28,-2.2073996494874627e-09,4.590974367886416e-09,1,H4
9.533967867567599e-07,28,2.3109887638064803,0.4760791285885283,29,two_term_center,29,-7.711224093543688e-15,1.7820552235373276e-14,1,H4
1.1569195102404266e-30,29,2.3741679332102055,0.5392582979922533,30,two_term_center,30,-9.357348090090451e-39,2.221591577537851e-38,1,H4
1.717454785986292e-29,30,2.4159544278004885,0.5810447925825365,31,two_term_center,31,-1.389104610927147e-37,3.3560134354475154e-37,1,H4
0.25213182367140685,31,2.416376901626625,0.581467266408673,32,two_term_center,32,-2.039282091623093e-09,4.927674142098872e-09,1,H4
0.03154161422530372,32,2.687231906216378,0.8523222709984262,33,two_term_center,33,-2.5511356755335515e-10,6.855493184380633e-10,1,H4
2.925217933163769e-30,33,2.8202308699037353,0.9853212346857831,34,two_term_center,34,-2.365962558129902e-38,6.672560643474361e-38,1,H4
0.07759731207156148,34,2.9173510369080677,1.0824414016901154,35,two_term_center,35,-6.276193403965348e-10,1.8309859334893882e-09,1,H4
