formula_id,point_role,relative_to_proxy_t_ana,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,unitarity_residual_frobenius,proxy_repeatability_error_hartree,proxy_noise_hartree,signal_to_noise_rho,quality_class
current_m3,leading_grid,,0.2327986488463796,0.9999999999999903,-9.291971808715725e-09,0.9999999999999903,-9.291971808715814e-09,-9.291971808715814e-09,0,-3.99141999094993e-08,-3.9914199909499685e-08,5.624862340002431e-13,0.0,2.416192004496639e-12,16519.465272303372,resolved
current_m3,leading_grid,,0.26680866224880534,0.9999999999999711,-1.837595290638038e-08,0.9999999999999714,-1.837595290638091e-08,-1.837595290638091e-08,0,-6.887314958779102e-08,-6.8873149587793e-08,5.607559927899609e-13,0.0,2.1017158440944576e-12,32769.96259095416,resolved
current_m3,leading_grid,,0.3057872655350857,0.9999999999998933,-3.634107895136147e-08,0.999999999999894,-3.6341078951365337e-08,-3.6341078951365337e-08,0,-1.1884431775721458e-07,-1.1884431775722722e-07,5.588141555496882e-13,0.0,1.827460520868455e-12,65032.495312531726,resolved
current_m3,leading_grid,,0.3504603297932982,0.9999999999995897,-7.187004937066105e-08,0.9999999999995922,-7.187004937069042e-08,-7.187004937069042e-08,0,-2.0507328008579476e-07,-2.0507328008587856e-07,5.594874379526174e-13,0.0,1.596435859894909e-12,128456.9491562877,resolved
current_m3,leading_grid,,0.40165977004930176,0.9999999999984068,-1.4213182878744196e-07,0.9999999999984169,-1.4213182878766746e-07,-1.4213182878766746e-07,0,-3.538612512027181e-07,-3.538612512032795e-07,5.576224495882171e-13,0.0,1.3882954957619273e-12,254889.00042026804,resolved
current_m3,leading_grid,,0.46033903743459603,0.9999999999938127,-2.81066967724868e-07,0.9999999999938523,-2.8106696772659966e-07,-2.8106696772659966e-07,0,-6.105651375803674e-07,-6.10565137584129e-07,5.571509415044163e-13,0.0,1.210305657780707e-12,504471.8527548968,resolved
current_m3,leading_grid,,0.5275908746355139,0.9999999999759932,-5.557361845108258e-07,0.9999999999761476,-5.5573618452411e-07,-5.5573618452411e-07,0,-1.0533468473933633e-06,-1.0533468474185424e-06,5.557330558491647e-13,0.0,1.0533409173028111e-12,1000005.6297922684,resolved
current_m3,leading_grid,,0.6046676652709777,0.9999999999070373,-1.0985124735602674e-06,0.9999999999076407,-1.0985124736619463e-06,-1.0985124736619463e-06,0,-1.8167210463750802e-06,-1.816721046543237e-06,5.560847921637836e-13,0.0,9.19653595028234e-13,1975440.5965425551,resolved
current_m3,leading_grid,,0.6930047561509587,0.9999999996410949,-2.170242939672903e-06,0.9999999996434499,-2.170242940448407e-06,-2.170242940448407e-06,0,-3.1316422007357108e-06,-3.1316422018547565e-06,5.549095628217464e-13,0.0,8.007298043721784e-13,3910984.933539612,resolved
current_m3,leading_grid,,0.7942471867296331,0.9999999986198608,-4.283421359066895e-06,0.9999999986290347,-4.283421364952416e-06,-4.283421364952416e-06,0,-5.393058270315283e-06,-5.393058277725471e-06,5.50314858782465e-13,0.0,6.928760566951757e-13,7783582.962930856,resolved
current_m3,leading_grid,,0.9102803235170321,0.9999999947205354,-8.439979465283133e-06,0.999999994756152,-8.439979509641305e-06,-8.439979509641305e-06,0,-9.271846536980773e-06,-9.271846585711007e-06,5.51527250322069e-13,0.0,6.058872592029058e-13,15302923.76370258,resolved
current_m3,leading_grid,,1.0432649699322605,0.9999999799431113,-1.6582922573961482e-05,0.999999980080608,-1.6582922905043256e-05,-1.6582922905043256e-05,0,-1.5895216509606582e-05,-1.589521682695815e-05,5.477363675137469e-13,0.0,5.250213352311749e-13,30275372.52863767,resolved
current_m3,leading_grid,,1.1956776054243634,0.999999924490386,-3.2432191819721474e-05,0.9999999250163095,-3.243219425729271e-05,-3.243219425729271e-05,0,-2.7124528947090897e-05,-2.712453098574348e-05,5.403028991950239e-13,0.0,4.5188008602307355e-13,60025944.46196924,resolved
