condition,formula,point_role,relative_to_proxy_t_ana,short_grid_index,time,echo_real,echo_imaginary,echo_imag_hartree,state_error,diagonal_signal,cancellation_index,pf_state_norm,exact_state_norm,pf_action_seconds,hamiltonian_evolution_seconds,proxy_point_seconds
CO_active_eq_sto3g,current_m3,selection_diagnostic,0.05,,0.03273402132390898,0.9999999999998973,-6.521949647009251e-12,-1.9924070991685978e-10,1.0251789479497499e-10,6.521949647009251e-12,0.06361767045697206,0.9999999999998971,1.0,0.2537279019597918,0.007700308924540877,0.26215393003076315
CO_active_eq_sto3g,current_m3,model_training,0.1,,0.06546804264781796,0.9999999999998949,-2.0911616882557382e-10,-3.1941716961129224e-09,3.279292250458029e-09,2.0911616882557382e-10,0.06376868935556626,0.9999999999998949,0.9999999999999999,0.24677761201746762,0.00836952798999846,0.2558167758397758
CO_active_eq_sto3g,current_m3,model_training,0.2,,0.1309360852956359,0.9999999999998908,-6.7442389450889095e-09,-5.15078706520157e-08,1.0477183019045159e-07,6.7442389450889095e-09,0.06437072763575288,0.9999999999998962,0.9999999999999999,0.24914534506388009,0.00923933507874608,0.2590494879987091
CO_active_eq_sto3g,current_m3,model_training,0.3,,0.19640412794345388,0.9999999999995849,-5.184043666561777e-08,-2.639477958454264e-07,7.934638270350111e-07,5.184043666561777e-08,0.06533434152799802,0.9999999999998997,0.9999999999999999,0.25070900097489357,0.010069753043353558,0.26146801211871207
CO_active_eq_sto3g,current_m3,selection_diagnostic,0.5,,0.3273402132390898,0.9999999999487846,-6.885679743606765e-07,-2.1035239378235068e-06,1.0110454554526963e-05,6.885679743606765e-07,0.06810455164474971,0.9999999999998954,0.9999999999999998,0.28222569497302175,0.012254766887053847,0.2953637600876391
CO_active_eq_sto3g,yoshida4,proxy_scale_fit,,0,0.02,0.9999999999999555,-1.7818173325689912e-10,-8.909086662844956e-09,3.2632087614515746e-10,1.7818173325689912e-10,0.5460322838114668,0.9999999999999556,0.9999999999999999,0.12445680308155715,0.007335031172260642,0.13216887088492513
CO_active_eq_sto3g,yoshida4,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999574,-3.5233410633495055e-10,-1.5371109619519187e-08,6.45245901145592e-10,3.5233410633495055e-10,0.5460462526137777,0.9999999999999573,1.0,0.12112713186070323,0.007419679779559374,0.1288976010400802
CO_active_eq_sto3g,yoshida4,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999536,-6.96697061153273e-10,-2.652009301432403e-08,1.275851789022034e-09,6.96697061153273e-10,0.5460642585196398,0.9999999999999537,0.9999999999999999,0.12097353208810091,0.0075384199153631926,0.12888069008477032
CO_active_eq_sto3g,yoshida4,proxy_scale_fit,,3,0.030108450502611094,0.9999999999999597,-1.3776252083541607e-09,-4.575543361936507e-08,2.522715628440816e-09,1.3776252083541607e-09,0.5460881887847234,0.9999999999999595,1.0,0.12151262094266713,0.007360509829595685,0.1292422900442034
CO_active_eq_sto3g,yoshida4,proxy_scale_fit,,4,0.034507053373351075,0.9999999999999559,-2.724048708824256e-09,-7.894179428626525e-08,4.988008202758341e-09,2.724048708824256e-09,0.5461195327060352,0.9999999999999558,1.0,0.1257114401087165,0.007856099167838693,0.13394740596413612
CO_active_eq_sto3g,yoshida4,selection_diagnostic,0.05,,0.007733892307667693,0.999999999999953,-1.5406842468479454e-12,-1.992120119542457e-10,2.822370941446783e-12,1.5406842468479454e-12,0.5458829752754508,0.9999999999999529,1.0,0.12192301894538105,0.006751161068677902,0.12902634008787572
CO_active_eq_sto3g,yoshida4,model_training,0.1,,0.015467784615335387,0.999999999999962,-4.9301562832226864e-11,-3.1873706583260346e-09,9.029363203177178e-11,4.9301562832226864e-11,0.5460137301252765,0.9999999999999621,1.0,0.12199834012426436,0.007166340947151184,0.12956157000735402
CO_active_eq_sto3g,yoshida4,model_training,0.2,,0.030935569230670774,0.9999999999999528,-1.5775286910102437e-09,-5.099400884617368e-08,2.888750309280946e-09,1.5775286910102437e-09,0.5460938198576653,0.9999999999999528,1.0,0.12210521916858852,0.00838083797134459,0.1308471958618611
CO_active_eq_sto3g,yoshida4,model_training,0.3,,0.046403353846006155,0.9999999999999569,-1.1977782821137595e-08,-2.581232136988844e-07,2.1928270397095147e-08,1.1977782821137595e-08,0.5462256075939441,0.999999999999957,1.0,0.11829373892396688,0.007643919205293059,0.12628757790662348
CO_active_eq_sto3g,yoshida4,selection_diagnostic,0.5,,0.07733892307667693,0.9999999999999138,-1.5397025598939962e-07,-1.9908507885059028e-06,2.816636642319673e-07,1.5397025598939962e-07,0.5466457890805385,0.9999999999999536,0.9999999999999999,0.11830959003418684,0.008393056923523545,0.12706234608776867
CO_active_stretch150_sto3g,current_m3,proxy_scale_fit,,0,0.02,0.9999999999999611,-1.1651790643441018e-13,-5.825895321720509e-12,2.203804685247425e-12,1.1651790643441018e-13,0.05287124907864896,0.999999999999961,1.0000000000000002,0.242278884164989,0.0068776910193264484,0.2497556027956307
CO_active_stretch150_sto3g,current_m3,proxy_scale_fit,,1,0.02292183941538839,0.9999999999999621,-2.303018886706809e-13,-1.0047269091156341e-11,4.35577947140567e-12,2.303018886706809e-13,0.05287271547665367,0.999999999999962,1.0,0.2570691828150302,0.008727116044610739,0.26671113702468574
CO_active_stretch150_sto3g,current_m3,proxy_scale_fit,,2,0.026270536109242643,0.9999999999999624,-4.556216515183564e-13,-1.7343447032207962e-11,8.612324098527907e-12,4.556216515183564e-13,0.0529034493251636,0.9999999999999624,1.0,0.24401016905903816,0.007342440076172352,0.25195683678612113
