condition,evaluation_group,strategy,selected_formula,selected_time,rotations,predicted_error_hartree,direct_error_hartree,predicted_cost,stored_budget_gamma_1_01,recomputed_budget_gamma_1_01,stored_s4_beta,practical_cost_beta,stored_phase_error_hartree,protocol_beta_phase_error_hartree,consistent_phase_error_hartree,cost_identity_phase_error_hartree,stored_energy_margin_hartree,consistent_energy_margin_hartree,stored_success,consistent_success,stored_phase_matches_protocol_beta,consistent_phase_matches_cost_identity,direct_cost_matches_practical_beta,success_changed,joint_formula_time_selection_regret
HF_full_eq_sto3g,stress_test,diagnostic_record_only,current_m3,0.148871685974198,9108,1.0751001536769666e-06,1.9998854262236836e-06,463823391.8193374,468461625.7375308,468461625.7375308,0.105,1.2,1.3712801612840856e-05,1.3712801612840856e-05,0.00015671773271818122,0.00015671773271818122,0.00014364732315997545,6.423920546350928e-07,True,True,True,True,True,False,1.1415343639702962
HF_full_eq_sto3g,stress_test,universal_fallback,current_m3,0.148871685974198,9108,1.0751001536769666e-06,1.9998854262236836e-06,463823391.8193374,468461625.7375308,468461625.7375308,0.105,1.2,1.3712801612840856e-05,1.3712801612840856e-05,0.00015671773271818122,0.00015671773271818122,0.00014364732315997545,6.423920546350928e-07,True,True,True,True,True,False,1.1415343639702962
HF_full_eq_sto3g,stress_test,state_targeted_fallback,current_m3,0.148871685974198,9108,1.0751001536769666e-06,1.9998854262236836e-06,463823391.8193374,468461625.7375308,468461625.7375308,0.105,1.2,1.3712801612840856e-05,1.3712801612840856e-05,0.00015671773271818122,0.00015671773271818122,0.00014364732315997545,6.423920546350928e-07,True,True,True,True,True,False,1.1415343639702962
HF_full_eq_sto3g,stress_test,equal_cost_extra_points,current_m3,0.148871685974198,9108,1.6321778138396863e-06,1.9998854262236836e-06,465461565.91921616,470116181.5784083,470116181.5784083,0.105,1.2,1.3664539934361415e-05,1.3664539934361415e-05,0.00015616617067841618,0.00015616617067841615,0.0001436955848384549,1.193954094400138e-06,True,True,True,True,True,False,1.1415343639702962
HF_full_stretch150_sto3g,stress_test,practical_baseline,current_m3,0.20600464713499966,9108,9.470274280034474e-07,5.140509990558424e-07,334916449.94069874,338265614.44010574,338265614.44010574,0.105,1.2,1.3723897022243262e-05,1.3723897022243262e-05,0.00015684453739706587,0.0001568445373970659,0.0001451220621777409,2.001421802918287e-06,True,True,True,True,True,False,1.0763612863694059
HF_full_stretch150_sto3g,stress_test,fixed_current_m3,current_m3,0.20600464713499966,9108,9.470274280034474e-07,5.140509990558424e-07,334916449.94069874,338265614.44010574,338265614.44010574,0.105,1.2,1.3723897022243262e-05,1.3723897022243262e-05,0.00015684453739706587,0.0001568445373970659,0.0001451220621777409,2.001421802918287e-06,True,True,True,True,True,False,1.0763612863694059
HF_full_stretch150_sto3g,stress_test,fixed_yoshida4,yoshida4,0.04722261090853548,3948,1.8931551394997163e-06,1.8950629946025817e-06,637117069.7913278,643488240.4892411,643488240.4892411,0.105,1.2,1.3641930512583939e-05,1.3641930512583939e-05,0.00015590777728667358,0.00015590777728667355,0.00014382301669185347,1.5571699177638451e-06,True,True,True,True,True,False,2.9607401127118624
HF_full_stretch150_sto3g,stress_test,diagnostic_record_only,current_m3,0.20600464713499966,9108,9.470274280034474e-07,5.140509990558424e-07,334916449.94069874,338265614.44010574,338265614.44010574,0.105,1.2,1.3723897022243262e-05,1.3723897022243262e-05,0.00015684453739706587,0.0001568445373970659,0.0001451220621777409,2.001421802918287e-06,True,True,True,True,True,False,1.0763612863694059
HF_full_stretch150_sto3g,stress_test,universal_fallback,current_m3,0.20600464713499966,9108,9.470274280034474e-07,5.140509990558424e-07,334916449.94069874,338265614.44010574,338265614.44010574,0.105,1.2,1.3723897022243262e-05,1.3723897022243262e-05,0.00015684453739706587,0.0001568445373970659,0.0001451220621777409,2.001421802918287e-06,True,True,True,True,True,False,1.0763612863694059
HF_full_stretch150_sto3g,stress_test,state_targeted_fallback,current_m3,0.20600464713499966,9108,9.470274280034474e-07,5.140509990558424e-07,334916449.94069874,338265614.44010574,338265614.44010574,0.105,1.2,1.3723897022243262e-05,1.3723897022243262e-05,0.00015684453739706587,0.0001568445373970659,0.0001451220621777409,2.001421802918287e-06,True,True,True,True,True,False,1.0763612863694059
