system_id,formula_id,state_id,sign,time_hartree_inverse,auxiliary_fit_a4,auxiliary_fit_a6,scaled_design_condition_number,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,closure_residual_hartree,closure_over_target_error
two_level_commuting,current_m3,complex_q001,1,0.08,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-1.360132124818938e-18,-1.734723475976807e-16,-1.226634733346703e-16,1.1102230246251565e-15,1.7211221547286176e-16,-5.080887426301041e-17,-1.2328864979598269e-15,-1.1115831567499755e-15,0.0,0.0
two_level_commuting,current_m3,complex_q001,1,0.12,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-6.6195368058061446e-18,0.0,-2.0543252740130517e-31,2.220446049250313e-16,-6.6195368058061446e-18,2.0543252740130517e-31,-2.220446049250315e-16,-2.2866414173083744e-16,0.0,0.0
two_level_commuting,current_m3,complex_q001,1,0.18,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-3.047999440018407e-17,-3.469446951953614e-16,-2.1806839703941326e-16,-2.220446049250313e-16,3.1646470079517737e-16,-1.2887629815594816e-16,3.976207885618048e-18,1.9156461052484724e-16,2.465190328815662e-32,1.5469315832351221e-28
two_level_commuting,current_m3,complex_q001,1,0.27,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-1.1977530938306068e-16,-2.569960705150825e-17,-9.130334551169117e-32,-2.220446049250313e-16,-9.407570233155244e-17,-2.5699607051508158e-17,2.220446049250312e-16,1.0226929554197063e-16,0.0,0.0
two_level_commuting,current_m3,complex_q001,1,0.4,-3.423309482430389e-14,1.604287688619591e-13,17.3589273424777,-2.19250990243595e-16,-2.255140518769849e-16,-2.9439233600320783e-16,0.0,6.2630616333899185e-18,6.887828412622291e-17,-2.9439233600320783e-16,-2.19250990243595e-16,0.0,0.0
two_level_commuting,current_m3,exact_ground,-1,-0.05,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-7.509948915516272e-20,-5.887846720064155e-16,-5.887846720064155e-16,0.0,5.887095725172603e-16,0.0,-5.887846720064155e-16,-7.509948915516272e-20,3.3703774026776627e-34,2.1149455239542688e-30
two_level_commuting,current_m3,exact_ground,-1,-0.08,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-4.914831512980623e-19,-1.2266347333466968e-16,-1.2266347333466968e-16,1.1102230246251565e-15,1.2217199018337161e-16,0.0,-1.2328864979598263e-15,-1.1107145077764546e-15,0.0,0.0
two_level_commuting,current_m3,exact_ground,-1,-0.12,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-2.480979898681547e-18,2.0543252740130517e-31,2.0543252740130517e-31,2.220446049250313e-16,-2.4809798986817524e-18,0.0,-2.220446049250311e-16,-2.2452558482371284e-16,-4.930380657631324e-32,3.0938631664702443e-28
two_level_commuting,current_m3,exact_ground,-1,-0.18,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-1.247847727733147e-17,-2.1806839703941319e-16,-2.1806839703941319e-16,-2.220446049250313e-16,2.0558991976208171e-16,0.0,3.976207885618122e-18,2.0956612764769984e-16,0.0,0.0
two_level_commuting,current_m3,exact_ground,-1,-0.27,-1.2026698964401792e-14,4.312279830303123e-15,17.3589273424777,-6.224414368284566e-17,9.130334551169117e-32,9.130334551169117e-32,-2.220446049250313e-16,-6.224414368284575e-17,0.0,2.220446049250314e-16,1.5980046124218566e-16,0.0,0.0
