system_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,echo_real,echo_imaginary,echo_overlap_magnitude,echo_principal_phase_radians,echo_unwrapped_phase_radians,echo_unwrap_integer,proxy_imag_hartree,proxy_arg_hartree,direct_shift_hartree,unitarity_residual_frobenius
two_level_noncommuting,yoshida4,exact_ground,-1,0.18,-0.18,0.999999996878273,6.239506719308877e-05,0.9999999988248452,6.239506730689813e-05,6.239506730689813e-05,0,-0.0003466392621838265,-0.00034663926281610074,-0.0003466643469041131,2.198129442157285e-15
two_level_noncommuting,yoshida4,real_q001,-1,0.18,-0.18,0.9999999968782729,7.048366749236787e-05,0.9999999993622466,7.048366759567893e-05,7.048366759567893e-05,0,-0.00039157593051315483,-0.00039157593108710517,-0.0003466643469041131,2.198129442157285e-15
two_level_noncommuting,yoshida4,complex_q001,-1,0.18,-0.18,0.9999999968782729,6.35765540381028e-05,0.999999998899262,6.357655415091311e-05,6.357655415091311e-05,0,-0.00035320307798946006,-0.00035320307861618394,-0.0003466643469041131,2.198129442157285e-15
two_level_noncommuting,yoshida4,exact_ground,-1,0.27,-0.27,0.9999998280830585,0.0004514245928748571,0.9999999299751524,0.0004514246398179994,0.0004514246398179994,0,-0.0016719429365735447,-0.0016719431104370347,-0.001672588151355514,2.0411201962889075e-15
two_level_noncommuting,yoshida4,real_q001,-1,0.27,-0.27,0.9999998280830584,0.0005115040426959816,0.9999999589012653,0.000511504086022835,0.000511504086022835,0,-0.0018944594173925242,-0.0018944595778623517,-0.001672588151355514,2.0411201962889075e-15
two_level_noncommuting,yoshida4,complex_q001,-1,0.27,-0.27,0.9999998280830585,0.00047014605733648046,0.9999999386017291,0.00047014610352261253,0.00047014610352261253,0,-0.0017412816938388164,-0.0017412818648985648,-0.001672588151355514,2.0411201962889075e-15
two_level_noncommuting,yoshida4,exact_ground,-1,0.4,-0.4,0.9999920721654422,0.002892894525268855,0.9999962566092281,0.002892909389632533,0.002892909389632533,0,-0.007232236313172137,-0.007232273474081332,-0.007246919721381362,1.5700924586837751e-15
two_level_noncommuting,yoshida4,real_q001,-1,0.4,-0.4,0.9999920721654422,0.003294711895829025,0.99999749975698,0.003294726094256258,0.003294726094256258,0,-0.008236779739572563,-0.008236815235640646,-0.007246919721381362,1.5700924586837751e-15
two_level_noncommuting,yoshida4,complex_q001,-1,0.4,-0.4,0.9999920721654423,0.003126883595587944,0.9999969608927597,0.003126898194086086,0.003126898194086086,0,-0.00781720898896986,-0.007817245485215214,-0.007246919721381362,1.5700924586837751e-15
two_level_noncommuting,yoshida4,exact_ground,1,0.05,0.05,0.9999999999999906,-1.0687097879185807e-07,0.9999999999999962,-1.0687097879185867e-07,-1.0687097879185867e-07,0,-2.1374195758371612e-06,-2.137419575837173e-06,-2.137420458403483e-06,2.198129442157285e-15
two_level_noncommuting,yoshida4,real_q001,1,0.05,0.05,0.9999999999999905,-1.2041919827502577e-07,0.9999999999999977,-1.2041919827502632e-07,-1.2041919827502632e-07,0,-2.408383965500515e-06,-2.4083839655005264e-06,-2.137420458403483e-06,2.198129442157285e-15
two_level_noncommuting,yoshida4,complex_q001,1,0.05,0.05,0.9999999999999905,-1.0362256476492693e-07,0.9999999999999958,-1.0362256476492755e-07,-1.0362256476492755e-07,0,-2.0724512952985386e-06,-2.072451295298551e-06,-2.137420458403483e-06,2.198129442157285e-15
two_level_noncommuting,yoshida4,exact_ground,1,0.08,0.08,0.9999999999990326,-1.1155492178233303e-06,0.9999999999996548,-1.1155492178239467e-06,-1.1155492178239467e-06,0,-1.3944365222791628e-05,-1.3944365222799334e-05,-1.3944403141508133e-05,1.2560739669470201e-15
two_level_noncommuting,yoshida4,real_q001,1,0.08,0.08,0.9999999999990323,-1.2574030968856206e-06,0.9999999999998228,-1.2574030968861748e-06,-1.2574030968861748e-06,0,-1.5717538711070258e-05,-1.5717538711077184e-05,-1.3944403141508133e-05,1.2560739669470201e-15
two_level_noncommuting,yoshida4,complex_q001,1,0.08,0.08,0.9999999999990324,-1.0745854461535753e-06,0.9999999999996098,-1.0745854461542015e-06,-1.0745854461542015e-06,0,-1.3432318076919691e-05,-1.3432318076927518e-05,-1.3944403141508133e-05,1.2560739669470201e-15
two_level_noncommuting,yoshida4,exact_ground,1,0.12,0.12,0.9999999999447462,-8.392441967098626e-06,0.9999999999799627,-8.392441967365306e-06,-8.392441967365306e-06,0,-6.993701639248855e-05,-6.993701639471088e-05,-6.99379907467268e-05,3.1401849173675502e-15
two_level_noncommuting,yoshida4,real_q001,1,0.12,0.12,0.9999999999447461,-9.466202336350305e-06,0.9999999999895506,-9.466202336590598e-06,-9.466202336590598e-06,0,-7.888501946958588e-05,-7.888501947158832e-05,-6.99379907467268e-05,3.1401849173675502e-15
two_level_noncommuting,yoshida4,complex_q001,1,0.12,0.12,0.9999999999447462,-8.011838682986383e-06,0.999999999976841,-8.011838683257642e-06,-8.011838683257642e-06,0,-6.676532235821986e-05,-6.676532236048035e-05,-6.99379907467268e-05,3.1401849173675502e-15
two_level_noncommuting,yoshida4,exact_ground,1,0.18,0.18,0.999999996878273,-6.239506719308877e-05,0.9999999988248452,-6.239506730689813e-05,-6.239506730689813e-05,0,-0.0003466392621838265,-0.00034663926281610074,-0.0003466643469041131,2.198129442157285e-15
two_level_noncommuting,yoshida4,real_q001,1,0.18,0.18,0.9999999968782729,-7.048366749236787e-05,0.9999999993622466,-7.048366759567893e-05,-7.048366759567893e-05,0,-0.00039157593051315483,-0.00039157593108710517,-0.0003466643469041131,2.198129442157285e-15
two_level_noncommuting,yoshida4,complex_q001,1,0.18,0.18,0.9999999968782728,-5.871777766035258e-05,0.9999999986021615,-5.871777777617152e-05,-5.871777777617152e-05,0,-0.00032620987589084764,-0.00032620987653428623,-0.0003466643469041131,2.198129442157285e-15
two_level_noncommuting,yoshida4,exact_ground,1,0.27,0.27,0.9999998280830585,-0.0004514245928748571,0.9999999299751524,-0.0004514246398179994,-0.0004514246398179994,0,-0.0016719429365735447,-0.0016719431104370347,-0.001672588151355514,2.0411201962889075e-15
two_level_noncommuting,yoshida4,real_q001,1,0.27,0.27,0.9999998280830584,-0.0005115040426959816,0.9999999589012653,-0.000511504086022835,-0.000511504086022835,0,-0.0018944594173925242,-0.0018944595778623517,-0.001672588151355514,2.0411201962889075e-15
two_level_noncommuting,yoshida4,complex_q001,1,0.27,0.27,0.9999998280830584,-0.0004146461446982441,0.9999999140487822,-0.00041464619221937606,-0.00041464619221937606,0,-0.0015357264618453485,-0.0015357266378495408,-0.001672588151355514,2.0411201962889075e-15
