system_id,formula_id,sign,absolute_time,time_hartree_inverse,selected_eigenbranch_id,principal_phase_radians,unwrapped_phase_radians,unwrap_integer,direct_shift_hartree,ground_state_overlap_probability,previous_branch_overlap_probability,degenerate_subspace_projector_overlap_probability,eigenpair_residual_2_norm
H2_stored,yoshida4,1,0.4,0.4,1,-0.309426981183691,-0.309426981183691,0,-2.5312401415678032e-05,0.9999999998613689,0.9999999999123625,0.9999999999123625,1.6883057536160649e-16
two_level_commuting,current_m3,-1,0.05,-0.05,1,0.07071067811865477,0.07071067811865477,0,0.0,0.9999999999999998,1.0,1.0,1.1102230246251565e-16
two_level_commuting,current_m3,-1,0.08,-0.08,1,0.11313708498984752,0.11313708498984752,0,1.1102230246251565e-15,1.0,1.0,1.0,7.850462293418876e-17
two_level_commuting,current_m3,-1,0.12,-0.12,1,0.1697056274847714,0.1697056274847714,0,2.220446049250313e-16,1.0,1.0000000000000004,1.0000000000000004,1.3597399555105182e-16
two_level_commuting,current_m3,-1,0.18,-0.18,1,0.25455844122715715,0.25455844122715715,0,-2.220446049250313e-16,0.9999999999999998,1.0,1.0,1.3597399555105182e-16
two_level_commuting,current_m3,-1,0.27,-0.27,1,0.38183766184073575,0.38183766184073575,0,-2.220446049250313e-16,0.9999999999999998,1.0,1.0,1.2412670766236366e-16
two_level_commuting,current_m3,-1,0.4,-0.4,1,0.5656854249492381,0.5656854249492381,0,0.0,1.0,1.0,1.0,2.237726045655905e-16
two_level_commuting,current_m3,1,0.05,0.05,1,-0.07071067811865477,-0.07071067811865477,0,0.0,0.9999999999999998,1.0,1.0,1.1102230246251565e-16
two_level_commuting,current_m3,1,0.08,0.08,1,-0.11313708498984752,-0.11313708498984752,0,1.1102230246251565e-15,1.0,1.0,1.0,7.850462293418876e-17
two_level_commuting,current_m3,1,0.12,0.12,1,-0.1697056274847714,-0.1697056274847714,0,2.220446049250313e-16,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.3597399555105182e-16
two_level_commuting,current_m3,1,0.18,0.18,1,-0.25455844122715715,-0.25455844122715715,0,-2.220446049250313e-16,0.9999999999999998,1.0,1.0,1.3597399555105182e-16
two_level_commuting,current_m3,1,0.27,0.27,1,-0.38183766184073575,-0.38183766184073575,0,-2.220446049250313e-16,0.9999999999999998,1.0,1.0,1.2412670766236366e-16
two_level_commuting,current_m3,1,0.4,0.4,1,-0.5656854249492381,-0.5656854249492381,0,0.0,0.9999999999999998,1.0,1.0,2.237726045655905e-16
two_level_noncommuting,current_m3,-1,0.05,-0.05,1,0.07071067841142867,0.07071067841142867,0,-5.855478102390066e-09,0.9999999999999998,0.9999999999999998,0.9999999999999998,5.594315114139762e-17
two_level_noncommuting,current_m3,-1,0.08,-0.08,1,0.11313708805823003,0.11313708805823003,0,-3.8354780240723585e-08,0.9999999999999971,0.999999999999998,0.999999999999998,2.7755575615628914e-17
two_level_noncommuting,current_m3,-1,0.12,-0.12,1,0.16970565076077807,0.16970565076077807,0,-1.939667220174357e-07,0.9999999999999254,0.9999999999999518,0.9999999999999518,0.0
two_level_noncommuting,current_m3,-1,0.18,-0.18,1,0.25455861756049736,0.25455861756049736,0,-9.796296680519845e-07,0.999999999998072,0.9999999999987561,0.9999999999987561,1.1443916996305594e-16
two_level_noncommuting,current_m3,-1,0.27,-0.27,1,0.3818389937215374,0.3818389937215374,0,-4.932891858100419e-06,0.9999999999497169,0.9999999999674809,0.9999999999674809,1.3877787807814457e-16
two_level_noncommuting,current_m3,-1,0.4,-0.4,1,0.5656948202641936,0.5656948202641936,0,-2.3488287388850893e-05,0.9999999987879256,0.9999999992313902,0.9999999992313902,6.206335383118183e-17
two_level_noncommuting,current_m3,1,0.05,0.05,1,-0.07071067841142867,-0.07071067841142867,0,-5.855478102390066e-09,0.9999999999999998,0.9999999999999998,0.9999999999999998,5.594315114139762e-17
two_level_noncommuting,current_m3,1,0.08,0.08,1,-0.11313708805823003,-0.11313708805823003,0,-3.8354780240723585e-08,0.9999999999999973,0.999999999999998,0.999999999999998,2.7755575615628914e-17
two_level_noncommuting,current_m3,1,0.12,0.12,1,-0.16970565076077807,-0.16970565076077807,0,-1.939667220174357e-07,0.9999999999999256,0.9999999999999518,0.9999999999999518,0.0
two_level_noncommuting,current_m3,1,0.18,0.18,1,-0.25455861756049736,-0.25455861756049736,0,-9.796296680519845e-07,0.999999999998072,0.9999999999987561,0.9999999999987561,1.1443916996305594e-16
two_level_noncommuting,current_m3,1,0.27,0.27,1,-0.3818389937215374,-0.3818389937215374,0,-4.932891858100419e-06,0.9999999999497171,0.9999999999674809,0.9999999999674809,1.3877787807814457e-16
two_level_noncommuting,current_m3,1,0.4,0.4,1,-0.5656948202641936,-0.5656948202641936,0,-2.3488287388850893e-05,0.9999999987879253,0.9999999992313902,0.9999999992313902,6.206335383118183e-17
H2_stored,current_m3,-1,0.05,-0.05,1,0.038677107028746195,0.038677107028746195,0,-1.7112089523152463e-11,1.0,1.0,1.0,2.4866521324258985e-16
H2_stored,current_m3,-1,0.08,-0.08,1,0.06188337125359724,0.06188337125359724,0,-1.1215373074691115e-10,1.0,1.0,1.0,1.1449174941446927e-16
H2_stored,current_m3,-1,0.12,-0.12,1,0.09282505693506458,0.09282505693506458,0,-5.677264214298816e-10,1.0,1.0,1.0,1.4950860984252496e-16
H2_stored,current_m3,-1,0.18,-0.18,1,0.13923758581762538,0.13923758581762538,0,-2.8734403745289683e-09,0.9999999999999993,0.9999999999999993,0.9999999999999993,1.8972038662535605e-16
