system,formula,window_size,order_tolerance,minimum_r2,qualified,eligible_window_count,selected_start_index,selected_t_start,selected_t_stop,selected_free_order,selected_fixed_order_alpha,selected_analytic_time
H4,yoshida4,6,0.2,0.995,True,24,0,0.02,0.039548256806109475,3.9996516039663597,0.004710689315270483,0.2868013693792896
H4,yoshida4,6,0.2,0.999,True,24,0,0.02,0.039548256806109475,3.9996516039663597,0.004710689315270483,0.2868013693792896
H4,yoshida4,6,0.3,0.995,True,25,0,0.02,0.039548256806109475,3.9996516039663597,0.004710689315270483,0.2868013693792896
H4,yoshida4,6,0.3,0.999,True,25,0,0.02,0.039548256806109475,3.9996516039663597,0.004710689315270483,0.2868013693792896
H4,current_m3,4,0.1,0.995,True,29,0,0.02,0.030108450502611094,4.004559632391149,1.2858573798665052e-05,1.2547411341738406
H4,current_m3,4,0.1,0.999,True,29,0,0.02,0.030108450502611094,4.004559632391149,1.2858573798665052e-05,1.2547411341738406
H4,current_m3,4,0.2,0.995,True,31,0,0.02,0.030108450502611094,4.004559632391149,1.2858573798665052e-05,1.2547411341738406
H4,current_m3,4,0.2,0.999,True,31,0,0.02,0.030108450502611094,4.004559632391149,1.2858573798665052e-05,1.2547411341738406
H4,current_m3,4,0.3,0.995,True,31,0,0.02,0.030108450502611094,4.004559632391149,1.2858573798665052e-05,1.2547411341738406
H4,current_m3,4,0.3,0.999,True,31,0,0.02,0.030108450502611094,4.004559632391149,1.2858573798665052e-05,1.2547411341738406
H4,current_m3,5,0.1,0.995,True,28,0,0.02,0.034507053373351075,4.003549623274697,1.2860800430169918e-05,1.254686821311208
H4,current_m3,5,0.1,0.999,True,28,0,0.02,0.034507053373351075,4.003549623274697,1.2860800430169918e-05,1.254686821311208
H4,current_m3,5,0.2,0.995,True,30,0,0.02,0.034507053373351075,4.003549623274697,1.2860800430169918e-05,1.254686821311208
H4,current_m3,5,0.2,0.999,True,30,0,0.02,0.034507053373351075,4.003549623274697,1.2860800430169918e-05,1.254686821311208
H4,current_m3,5,0.3,0.995,True,30,0,0.02,0.034507053373351075,4.003549623274697,1.2860800430169918e-05,1.254686821311208
