system,formula,time_hartree_inverse,selection_rules_agree,ground_overlap_probability,previous_overlap_probability,phase_gap_radians
H2,yoshida4,5.503145917789352,False,0.46597060680900615,0.9999999987828716,0.4443439656660084
H2,yoshida4,5.504201932499697,False,0.4660058569661215,0.9999999987516504,0.4432943730944694
H2,yoshida4,5.505257947210043,False,0.46604155089149046,0.9999999987200334,0.4422448084800874
H2,yoshida4,5.506313961920389,False,0.46607768858135246,0.9999999986880224,0.44119527270625447
H2,yoshida4,5.507369976630734,False,0.46611427003291295,0.9999999986556165,0.44014576665646876
H2,yoshida4,5.50842599134108,False,0.4661512952443425,0.9999999986228152,0.4390962912143377
H2,yoshida4,5.509482006051426,False,0.46618876421477773,0.9999999985896195,0.4380468472635837
H2,yoshida4,5.510538020761771,False,0.46622667694431774,0.9999999985560291,0.4369974356880406
H2,yoshida4,5.511594035472117,False,0.4662650334340258,0.999999998522044,0.435948057371665
H2,yoshida4,5.5126500501824625,False,0.46630383368592476,0.9999999984876642,0.4348987131985358
H2,yoshida4,5.5137060648928085,False,0.4663430777029994,0.9999999984528893,0.43384940405285244
H2,yoshida4,5.5147620796031545,False,0.46638276548919383,0.9999999984177188,0.43280013081894886
H2,yoshida4,5.5158180943135,False,0.46642289704941053,0.9999999983821533,0.4317508943812869
H2,yoshida4,5.516874109023846,False,0.46646347238950986,0.9999999983461927,0.4307016956244598
H2,yoshida4,5.517930123734192,False,0.4665044915163075,0.9999999983098371,0.429652535433204
H2,yoshida4,5.518986138444537,False,0.466545954437575,0.9999999982730858,0.4286034146923962
H2,yoshida4,5.520042153154883,False,0.46658786116203793,0.9999999982359393,0.42755433428705336
H2,yoshida4,5.55912476715333,False,0.4684511281457469,0.9999965135233988,0.38876483569801046
H2,yoshida4,5.559349571683659,False,0.4684636063659742,0.9999999998436719,0.3885419675221011
H2,yoshida4,5.559349571683661,False,0.4684636063659745,1.0,0.3885419675220989
H2,yoshida4,5.563349571683661,False,0.46868900523729246,0.9999999489938853,0.384576992580802
H2,yoshida4,5.606656990212439,False,0.4715388055607482,0.9999918495185349,0.341730371120347
