system_id,formula_id,degenerate_group_index,excited_energy_hartree,excitation_gap_hartree,state_count,first_state_index,last_state_index,squared_d4_coupling,mixing_contribution_hartree,absolute_mixing_share
H4,yoshida4,28,0.4760791285885283,2.3109887638064803,1,29,29,1.1899000857422598e-08,-5.148878715370079e-09,0.0005688876768954784
H4,yoshida4,29,0.5392582979922533,2.3741679332102055,1,30,30,3.23852299734757e-36,-1.3640665228632906e-36,1.5071254892956138e-31
H4,yoshida4,30,0.5810447925825365,2.4159544278004885,1,31,31,4.363729447872555e-36,-1.806213477232409e-36,1.9956434125603487e-31
H4,yoshida4,31,0.581467266408673,2.416376901626625,1,32,32,6.825395446304629e-08,-2.824640246192553e-08,0.0031208795478618223
H4,yoshida4,32,0.8523222709984262,2.687231906216378,1,33,33,8.678207629888828e-07,-3.229422667174171e-07,0.035681142640981114
H4,yoshida4,33,0.9853212346857831,2.8202308699037353,1,34,34,2.82047085417297e-35,-1.0000850938381662e-35,1.104970843521798e-30
H4,yoshida4,34,1.0824414016901154,2.9173510369080677,1,35,35,2.99487659413713e-07,-1.026573955704428e-07,0.011342377731267223
H4,current_m3,0,-1.602279420097768,0.23263021512018422,1,1,1,1.0402099836308957e-41,-4.4715170946022204e-41,3.124714626661914e-33
H4,current_m3,1,-1.3880163292143617,0.44689330600359045,1,2,2,1.2125119964313193e-14,-2.7132024135120468e-14,1.8959970603332084e-06
H4,current_m3,2,-1.3181800727844573,0.5167295624334949,1,3,3,6.230964668788561e-15,-1.205846369509875e-14,8.426504268233962e-07
H4,current_m3,3,-1.291660212963727,0.5432494222542252,1,4,4,1.9360597018211698e-41,-3.5638504571020955e-41,2.4904334289553487e-33
H4,current_m3,4,-1.1062134698360315,0.7286961653819206,1,5,5,5.433644154469537e-41,-7.456666320758917e-41,5.210749243637946e-33
H4,current_m3,5,-1.0007975440348666,0.8341120911830855,1,6,6,4.2220230427216433e-13,-5.061697447321765e-13,3.53713509638066e-05
H4,current_m3,6,-0.953344752704397,0.8815648825135551,1,7,7,9.831736035389787e-15,-1.1152594925692961e-14,7.793479428182377e-07
H4,current_m3,7,-0.8831787619676617,0.9517308732502905,1,8,8,3.4264655623086035e-11,-3.600246307663381e-11,0.0025158669997530393
H4,current_m3,8,-0.8153265384161082,1.0195830968018438,1,9,9,3.2953046744843056e-12,-3.232011873108513e-12,0.00022585432549588727
H4,current_m3,9,-0.7905198429945312,1.0443897922234209,1,10,10,7.317378631780315e-41,-7.006367437010479e-41,4.8960785225717556e-33
H4,current_m3,10,-0.7745036666381158,1.0604059685798364,1,11,11,2.498115098265714e-43,-2.3558101069643638e-43,1.646249839401399e-35
H4,current_m3,11,-0.6519625219697148,1.1829471132482374,1,12,12,4.576364493785981e-40,-3.868612926591289e-40,2.703402702229524e-32
H4,current_m3,12,-0.6124975827078092,1.222412052510143,1,13,13,8.576134944715762e-41,-7.015748026293779e-41,4.902633717133265e-33
H4,current_m3,13,-0.6117724713365257,1.2231371638814266,1,14,14,4.453817296409804e-10,-3.6413064927864186e-10,0.025445600268203583
H4,current_m3,14,-0.448057410146619,1.386852225071333,1,15,15,4.607692533862663e-13,-3.3224106004701873e-13,2.3217142592606632e-05
H4,current_m3,15,-0.38821455096863083,1.4466950842493214,1,16,16,6.264138628999236e-13,-4.32996468792845e-13,3.0257972198366867e-05
H4,current_m3,16,-0.36917036738694675,1.4657392678310055,1,17,17,8.67220944597309e-40,-5.916611252972834e-40,4.134552397161601e-32
H4,current_m3,17,-0.30790137719737587,1.5270082580205764,1,18,18,1.5695930937658868e-13,-1.0278877573330953e-13,7.182922131244042e-06
