experiment_id,case_id,formula_id,state_id,sign,absolute_time,time_hartree_inverse,model_status,quality_class,fhat_approx_hartree,g_approx_hartree,g_exact_hartree,delta_direct_hartree,E_fit_signed_hartree,E_state_signed_hartree,E_proxy_signed_hartree,E_total_signed_hartree,E_fit_hartree,E_state_hartree,E_proxy_hartree,E_total_hartree,closure_residual_hartree
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.125,-0.125,fit_ok,resolved,-1.1669855810824092e-06,-1.1669713209652323e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,-1.4260117176902908e-11,-2.0489683637840805e-08,5.40533227833868e-13,-2.0503403221789874e-08,1.4260117176902908e-11,2.0489683637840805e-08,5.40533227833868e-13,2.0503403221789874e-08,0.0
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.125,-0.125,fit_ok,resolved,-1.0610856186737758e-06,-1.0800569856250775e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,1.8971366951301693e-08,6.642465170231405e-08,5.40533227833868e-13,8.539655918684358e-08,1.8971366951301693e-08,6.642465170231405e-08,5.40533227833868e-13,8.539655918684358e-08,0.0
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.125,-0.125,fit_ok,resolved,-9.762230454697534e-07,-9.763201890484248e-07,-1.1464816373273915e-06,-1.1464821778606193e-06,9.714357867143602e-11,1.701614482789667e-07,5.40533227833868e-13,1.7025913239086597e-07,9.714357867143602e-11,1.701614482789667e-07,5.40533227833868e-13,1.7025913239086597e-07,0.0
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.125,-0.125,fit_ok,resolved,-1.0821230078776753e-06,-1.0632345244093733e-06,-1.1464816373273915e-06,-1.1464821778606193e-06,-1.8888483468302052e-08,8.324711291801824e-08,5.40533227833868e-13,6.435916998294402e-08,1.8888483468302052e-08,8.324711291801824e-08,5.40533227833868e-13,6.435916998294402e-08,0.0
B,H4,yoshida4,rhf,-1,0.175,-0.175,fit_ok,resolved,-3.366960237809562e-06,-3.3670910190178716e-06,-4.390315652039067e-06,-4.390323548264519e-06,1.307812083095051e-10,1.023224633021195e-06,7.896225452062042e-12,1.0233633104549566e-06,1.307812083095051e-10,1.023224633021195e-06,7.896225452062042e-12,1.0233633104549566e-06,0.0
B,H4,yoshida4,cisd,-1,0.175,-0.175,fit_ok,resolved,-4.348370185719401e-06,-4.348460315180393e-06,-4.390315652039067e-06,-4.390323548264519e-06,9.012946099205761e-11,4.185533685867388e-08,7.896225452062042e-12,4.1953362545118e-08,9.012946099205761e-11,4.185533685867388e-08,7.896225452062042e-12,4.1953362545118e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.175,-0.175,fit_ok,resolved,-4.437635808062815e-06,-4.437700712510816e-06,-4.390315652039067e-06,-4.390323548264519e-06,6.49044480007717e-11,-4.738506047174926e-08,7.896225452062042e-12,-4.7312259798296425e-08,6.49044480007717e-11,4.738506047174926e-08,7.896225452062042e-12,4.7312259798296425e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.175,-0.175,fit_ok,resolved,-4.377494298564647e-06,-4.391174002844542e-06,-4.390315652039067e-06,-4.390323548264519e-06,1.3679704279894876e-08,-8.583508054751476e-10,7.896225452062042e-12,1.282924969987179e-08,1.3679704279894876e-08,8.583508054751476e-10,7.896225452062042e-12,1.282924969987179e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi3.141592653590,-1,0.175,-0.175,fit_ok,resolved,-4.3313639451441385e-06,-4.331457956159104e-06,-4.390315652039067e-06,-4.390323548264519e-06,9.401101496515403e-11,5.885769587996298e-08,7.896225452062042e-12,5.89596031203802e-08,9.401101496515403e-11,5.885769587996298e-08,7.896225452062042e-12,5.89596031203802e-08,0.0
B,H4,yoshida4,controlled_q0.001_phi4.712388980385,-1,0.175,-0.175,fit_ok,resolved,-4.3915054546425e-06,-4.377984665823682e-06,-4.390315652039067e-06,-4.390323548264519e-06,-1.3520788818817834e-08,1.2330986215384632e-08,7.896225452062042e-12,-1.1819063779811405e-09,1.3520788818817834e-08,1.2330986215384632e-08,7.896225452062042e-12,1.1819063779811405e-09,0.0
B,H4,yoshida4,controlled_q0.010_phi0.000000000000,-1,0.175,-0.175,fit_ok,resolved,-4.500145804557427e-06,-4.500178623469199e-06,-4.390315652039067e-06,-4.390323548264519e-06,3.281891177192613e-11,-1.0986297143013268e-07,7.896225452062042e-12,-1.098222562929087e-07,3.281891177192613e-11,1.0986297143013268e-07,7.896225452062042e-12,1.098222562929087e-07,0.0
B,H4,yoshida4,controlled_q0.010_phi1.570796326795,-1,0.175,-0.175,fit_ok,resolved,-4.310820276203718e-06,-4.353712497769708e-06,-4.390315652039067e-06,-4.390323548264519e-06,4.289222156599048e-08,3.6603154269358174e-08,7.896225452062042e-12,7.950327206080071e-08,4.289222156599048e-08,3.6603154269358174e-08,7.896225452062042e-12,7.950327206080071e-08,0.0
B,H4,yoshida4,controlled_q0.010_phi3.141592653590,-1,0.175,-0.175,fit_ok,resolved,-4.165601880334488e-06,-4.165726326746395e-06,-4.390315652039067e-06,-4.390323548264519e-06,1.2444641190721033e-10,2.2458932529267155e-07,7.896225452062042e-12,2.2472166793003082e-07,1.2444641190721033e-10,2.2458932529267155e-07,7.896225452062042e-12,2.2472166793003082e-07,0.0
B,H4,yoshida4,controlled_q0.010_phi4.712388980385,-1,0.175,-0.175,fit_ok,resolved,-4.354927408688511e-06,-4.312192452451165e-06,-4.390315652039067e-06,-4.390323548264519e-06,-4.2734956237346034e-08,7.812319958790198e-08,7.896225452062042e-12,3.539613957600801e-08,4.2734956237346034e-08,7.812319958790198e-08,7.896225452062042e-12,3.539613957600801e-08,0.0
B,H4,yoshida4,controlled_q0.050_phi0.000000000000,-1,0.175,-0.175,fit_ok,resolved,-4.469822181119779e-06,-4.469796795032471e-06,-4.390315652039067e-06,-4.390323548264519e-06,-2.5386087307470244e-11,-7.948114299340472e-08,7.896225452062042e-12,-7.949863285526013e-08,2.5386087307470244e-11,7.948114299340472e-08,7.896225452062042e-12,7.949863285526013e-08,0.0
B,H4,yoshida4,controlled_q0.050_phi1.570796326795,-1,0.175,-0.175,fit_ok,resolved,-4.05511802771065e-06,-4.148973125944359e-06,-4.390315652039067e-06,-4.390323548264519e-06,9.38550982337087e-08,2.413425260947076e-07,7.896225452062042e-12,3.352055205538684e-07,9.38550982337087e-08,2.413425260947076e-07,7.896225452062042e-12,3.352055205538684e-07,0.0
B,H4,yoshida4,controlled_q0.050_phi3.141592653590,-1,0.175,-0.175,fit_ok,resolved,-3.737027422371962e-06,-3.7372027398305627e-06,-4.390315652039067e-06,-4.390323548264519e-06,1.7531745860073551e-10,6.531129122085039e-07,7.896225452062042e-12,6.532961258925567e-07,1.7531745860073551e-10,6.531129122085039e-07,7.896225452062042e-12,6.532961258925567e-07,0.0
B,H4,yoshida4,controlled_q0.050_phi4.712388980385,-1,0.175,-0.175,fit_ok,resolved,-4.151731575778968e-06,-4.058026408931825e-06,-4.390315652039067e-06,-4.390323548264519e-06,-9.3705166847143e-08,3.322892431072414e-07,7.896225452062042e-12,2.3859197248555044e-07,9.3705166847143e-08,3.322892431072414e-07,7.896225452062042e-12,2.3859197248555044e-07,0.0
B,H4,yoshida4,rhf,-1,0.225,-0.225,fit_ok,resolved,-9.164359090838506e-06,-9.16437676141197e-06,-1.194610749615144e-05,-1.1946166163179228e-05,1.7670573463263216e-11,2.78173073473947e-06,5.866702778892468e-11,2.781807072340722e-06,1.7670573463263216e-11,2.78173073473947e-06,5.866702778892468e-11,2.781807072340722e-06,0.0
B,H4,yoshida4,cisd,-1,0.225,-0.225,fit_ok,resolved,-1.1831726609862977e-05,-1.1831739060813758e-05,-1.194610749615144e-05,-1.1946166163179228e-05,1.2450950780988558e-11,1.1436843533768162e-07,5.866702778892468e-11,1.1443955331625153e-07,1.2450950780988558e-11,1.1436843533768162e-07,5.866702778892468e-11,1.1443955331625153e-07,0.0
B,H4,yoshida4,controlled_q0.001_phi0.000000000000,-1,0.225,-0.225,fit_ok,resolved,-1.2075659962881133e-05,-1.2075669004766602e-05,-1.194610749615144e-05,-1.1946166163179228e-05,9.041885468840825e-12,-1.295615086151629e-07,5.866702778892468e-11,-1.2949379970190512e-07,9.041885468840825e-12,1.295615086151629e-07,5.866702778892468e-11,1.2949379970190512e-07,0.0
B,H4,yoshida4,controlled_q0.001_phi1.570796326795,-1,0.225,-0.225,fit_ok,resolved,-1.1907153497532703e-05,-1.1953808457376972e-05,-1.194610749615144e-05,-1.1946166163179228e-05,4.665495984426961e-08,-7.700961225533045e-09,5.866702778892468e-11,3.901266564652549e-08,4.665495984426961e-08,7.700961225533045e-09,5.866702778892468e-11,3.901266564652549e-08,0.0
