system_id,formula_id,state_id,requested_grouped_term_count,selected_grouped_term_count,selected_fraction,approximate_expectation_real_hartree,full_expectation_real_hartree,expectation_relative_error,action_relative_error,expectation_sign_matches_full,selected_importance_score_fraction,selected_actual_absolute_contribution_fraction,dropped_signed_expectation_real_hartree,selected_linear_combination_action_count,selected_equivalent_fragment_action_count,analytic_time_from_truncated_expectation,analytic_cost_from_truncated_expectation,accuracy_worsened_from_previous_count
H2,two_term_center,cisd,2,2,0.4,-7.984055767376628e-06,-4.656046198994236e-06,0.7147715950716474,0.2430757950396461,True,0.6703248655622039,0.6579395954652257,3.3280095683823915e-06,92,100,1.4135020597959373,599318.9002655589,False
H2,two_term_center,cisd,3,3,0.6,-7.984055767376628e-06,-4.656046198994236e-06,0.7147715950716474,0.31217632614222285,True,0.803802138508484,0.6579395954652257,3.3280095683823915e-06,138,152,1.4135020597959373,599318.9002655589,False
H2,two_term_center,cisd,4,4,0.8,-4.244610194669011e-06,-4.656046198994236e-06,0.08836596260881194,0.027238272885860174,True,0.9296314651758315,0.9660949214117883,-4.1143600432522565e-07,166,184,1.6553616245116192,511754.34265001427,False
H2,two_term_center,cisd,5,5,1.0,-4.656046198994238e-06,-4.656046198994236e-06,3.6384215751006504e-16,1.488581436869654e-16,True,1.0,1.0,1.6940658945086007e-21,212,238,1.617513879417094,523728.73629083665,False
H2,m5_best,exact,1,1,0.2,1.879354351720479e-21,-2.404951309484236e-07,1.000000000000008,0.24509731048850603,False,0.6088843881952916,2.9995379776057892e-15,-2.404951309484255e-07,46,52,11411.695312394613,112.72606433881995,False
H2,m5_best,exact,2,2,0.4,1.879354351720479e-21,-2.404951309484236e-07,1.000000000000008,0.04651119272142461,False,0.9333871355220786,3.5278383911333687e-15,-2.404951309484255e-07,92,104,11411.695312394613,112.72606433881995,False
H2,m5_best,exact,3,3,0.6,-4.1239421930339424e-07,-2.404951309484236e-07,0.7147715950716522,0.026761266496887873,True,0.978786051343774,0.6579395954652268,1.7189908835497062e-07,138,152,2.9649965604159925,433860.7056662226,False
H2,m5_best,exact,4,4,0.8,-2.1924354719943343e-07,-2.404951309484236e-07,0.08836596260881383,0.0023349966623713633,True,0.9923913824879367,0.9660949214117885,-2.1251583748990187e-08,166,184,3.4723271104607796,370470.71289009403,False
H2,m5_best,exact,5,5,1.0,-2.4049513094842335e-07,-2.404951309484236e-07,1.1006368194362144e-15,1.8138854194073757e-16,True,1.0000000000000002,1.0,-2.6469779601696886e-22,212,238,3.392936752840098,379139.25124693604,False
H2,m5_best,hf,1,1,0.2,-2.5301508623484234e-06,-3.5720944505067595e-06,0.2916898202427205,0.24509731048850614,True,0.6088843881952916,0.6210073547799506,-1.0419435881583362e-06,46,52,1.883934207364701,682824.004665986,False
H2,m5_best,hf,2,2,0.4,-3.2146681998075077e-06,-3.5720944505067595e-06,0.10006069426538963,0.04651119272142469,True,0.9333871355220786,0.7890172182874264,-3.5742625069925184e-07,92,104,1.7744685137346519,724946.9292033707,False
H2,m5_best,hf,3,3,0.6,-3.8005382219854457e-06,-3.5720944505067595e-06,0.06395233234840073,0.026761266496887752,True,0.978786051343774,0.9328148068548903,2.2844377147868613e-07,138,152,1.70173158629298,755933.2566672661,False
H2,m5_best,hf,4,4,0.8,-3.5494510696234725e-06,-3.5720944505067595e-06,0.006338964771795077,0.0023349966623713624,True,0.9923913824879367,0.9944423448123747,-2.2643380883287044e-08,166,184,1.7310596674601393,743126.0309400206,False
H2,m5_best,hf,5,5,1.0,-3.57209445050676e-06,-3.5720944505067595e-06,1.1856250709358132e-16,4.367322872303904e-17,True,1.0000000000000002,1.0,4.235164736271502e-22,212,238,1.7283098405919153,744308.381394992,False
H2,m5_best,cisd,1,1,0.2,4.235164736271502e-22,-2.404951309484247e-07,1.0000000000000018,0.24509731048850616,False,0.6088843881952916,6.75684198003041e-16,-2.404951309484251e-07,46,52,16562.838194298496,77.66757634828717,False
H2,m5_best,cisd,2,2,0.4,6.352747104407253e-22,-2.404951309484247e-07,1.0000000000000027,0.046511192721424774,False,0.9333871355220786,1.6047499702572224e-15,-2.404951309484253e-07,92,104,14966.213777833786,85.95330249159373,False
H2,m5_best,cisd,3,3,0.6,-4.1239421930339593e-07,-2.404951309484247e-07,0.7147715950716517,0.0267612664968877,True,0.978786051343774,0.6579395954652263,1.7189908835497126e-07,138,152,2.9649965604159894,433860.705666223,False
H2,m5_best,cisd,4,4,0.8,-2.1924354719943523e-07,-2.404951309484247e-07,0.08836596260881036,0.0023349966623713607,True,0.9923913824879367,0.9660949214117883,-2.1251583748989446e-08,166,184,3.4723271104607725,370470.7128900947,False
H2,m5_best,cisd,5,5,1.0,-2.404951309484251e-07,-2.404951309484247e-07,1.7610189110979352e-15,4.3673228723039034e-17,True,1.0000000000000002,0.9999999999999998,4.235164736271502e-22,212,238,3.3929367528400918,379139.25124693674,False
H4,yoshida4,exact,1,1,0.0021929824561403508,1.2197274440461925e-19,-0.004711578748176999,1.0,1.2465248425187434,False,0.2146256247561666,6.148650752656848e-18,-0.004711578748176999,46,382,4020.560829725851,2177.2496103726226,False
H4,yoshida4,exact,5,5,0.010964912280701754,-0.004943730379653281,-0.004711578748176999,0.04927257802198606,0.3794684549569717,True,0.5828522111493314,0.845386286943006,0.0002321516314762826,212,1514,0.28336006392616253,30892724.89111619,False
H4,yoshida4,exact,10,10,0.021929824561403508,-0.0047875337388829445,-0.004711578748176999,0.016120921407783786,1.0619480090058682,True,0.69874780438039,0.8532601656322407,7.59549907059457e-05,424,3016,0.2856435186677844,30645766.236275207,False
H4,yoshida4,exact,25,25,0.05482456140350877,-0.003921466753541609,-0.004711578748176999,0.16769580577234325,0.6286417890705197,True,0.8655961938487854,0.9020181969647924,-0.0007901119946353901,1042,6628,0.3002549678926904,29154436.848913644,True
H4,yoshida4,exact,50,50,0.10964912280701754,-0.004230628131627051,-0.004711578748176999,0.10207844169770851,0.32269441093183504,True,0.9325086267022858,0.9254059856800925,-0.0004809506165499482,2066,11824,0.29461246845216743,29712810.68310004,False
