condition,formula,effective_order,geometric_mean_time,left_time,right_time,roundoff_risk,sign_reversal,tau__lambda_h_sector_centered_half_width,tau__lambda_group_half_width_sum,tau__lambda_pauli_nonidentity_l1,diagnosis
full_stretch150,m5_best,5.493539472957571,0.010606601717798213,0.0075,0.015,True,True,0.19963407231488522,0.462969202299896,0.7907143022316792,sign_reversal_or_cancellation_on_direct_ladder
full_stretch150,m5_best,4.204525437995628,0.021213203435596427,0.015,0.03,True,False,0.39926814462977045,0.925938404599792,1.5814286044633583,sign_reversal_or_cancellation_on_direct_ladder
full_stretch150,m5_best,3.9419436125815857,0.042426406871192854,0.03,0.06,False,False,0.7985362892595409,1.851876809199584,3.1628572089267166,sign_reversal_or_cancellation_on_direct_ladder
full_stretch150,paper_new4,3.9846945807013996,0.010606601717798213,0.0075,0.015,True,False,0.19963407231488522,0.462969202299896,0.7907143022316792,direct_small_time_values_reach_numerical_floor
full_stretch150,paper_new4,3.977383917192371,0.021213203435596427,0.015,0.03,False,False,0.39926814462977045,0.925938404599792,1.5814286044633583,direct_small_time_values_reach_numerical_floor
full_stretch150,paper_new4,3.9029100147814106,0.042426406871192854,0.03,0.06,False,False,0.7985362892595409,1.851876809199584,3.1628572089267166,direct_small_time_values_reach_numerical_floor
full_stretch150,two_term_center,4.128200823022287,0.010606601717798213,0.0075,0.015,True,False,0.19963407231488522,0.462969202299896,0.7907143022316792,direct_small_time_values_reach_numerical_floor
full_stretch150,two_term_center,3.9938506246915786,0.021213203435596427,0.015,0.03,False,False,0.39926814462977045,0.925938404599792,1.5814286044633583,direct_small_time_values_reach_numerical_floor
full_stretch150,two_term_center,3.9865719018096355,0.042426406871192854,0.03,0.06,False,False,0.7985362892595409,1.851876809199584,3.1628572089267166,direct_small_time_values_reach_numerical_floor
full_stretch150,yoshida4,3.9968300255064992,0.010606601717798213,0.0075,0.015,False,False,0.19963407231488522,0.462969202299896,0.7907143022316792,direct_effective_order_reaches_formal_order_4
full_stretch150,yoshida4,3.988791906515065,0.021213203435596427,0.015,0.03,False,False,0.39926814462977045,0.925938404599792,1.5814286044633583,direct_effective_order_reaches_formal_order_4
full_stretch150,yoshida4,3.954788606296641,0.042426406871192854,0.03,0.06,False,False,0.7985362892595409,1.851876809199584,3.1628572089267166,direct_effective_order_reaches_formal_order_4
full_stretch150,yoshida6_m3,5.474060572220294,0.010606601717798213,0.0075,0.015,True,False,0.19963407231488522,0.462969202299896,0.7907143022316792,direct_small_time_values_reach_numerical_floor
full_stretch150,yoshida6_m3,5.95217127048473,0.021213203435596427,0.015,0.03,True,False,0.39926814462977045,0.925938404599792,1.5814286044633583,direct_small_time_values_reach_numerical_floor
full_stretch150,yoshida6_m3,5.905899230232404,0.042426406871192854,0.03,0.06,False,False,0.7985362892595409,1.851876809199584,3.1628572089267166,direct_small_time_values_reach_numerical_floor
