condition,formula,state_id,direction_id,target_energy_error_hartree,phase_index,relative_phase_radians,a4,a6,coefficient_relative_2_norm_error,predicted_time,exact_echo_predicted_time,predicted_time_relative_error,predicted_model_cost,exact_echo_predicted_model_cost,predicted_model_cost_relative_error,minimum_echo_magnitude,training_design_condition_number,training_maximum_absolute_residual_hartree
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase2,cisd_orthogonal_component,0.01,2,3.141592653589793,-0.00011872733195025555,4.834750179731501e-05,0.3732686905285544,0.8089146133312343,0.6621688081187646,0.22161388971096008,233037488.28727943,273623312.3402094,0.14832736182386252,0.9999999999513277,29.20924143389024,1.8205679331664483e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.01__phase3,cisd_orthogonal_component,0.01,3,4.71238898038469,-0.0001621833938922889,-4.652579174615997e-05,0.3547413412347066,0.6408738459557265,0.6621688081187646,0.03215941600078909,278821305.070433,273623312.3402094,0.018996892793113673,0.9999999999505336,29.20924143389024,7.761330127787485e-11
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase0,cisd_orthogonal_component,0.05,0,0.0,-0.00023723507749745553,-0.00011725089659131025,0.83203671595927,0.5750293003718541,0.6621688081187646,0.13159711946335206,309773394.4520646,273623312.3402094,0.1321162360132091,0.999999999948655,29.20924143389024,4.908999443794314e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase1,cisd_orthogonal_component,0.05,1,1.5707963267948966,-0.00014080857316938814,9.32675380411769e-05,0.4899318081872459,1.1757954568548645,0.6621688081187646,0.7756732761171945,143187347.92042387,273623312.3402094,0.4766990184579304,0.9999999999503343,29.20924143389024,2.5912841969142204e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase2,cisd_orthogonal_component,0.05,2,3.141592653589793,-4.573748094862411e-05,6.892506060537396e-05,0.7987633999089044,0.9436738370807669,0.6621688081187646,0.42512577685705866,165932248.21757045,273623312.3402094,0.3935741556579848,0.9999999999527558,29.20924143389024,3.870120854723933e-10
N2_active_eq_sto3g,current_m3,cisd_orthogonal_component__de0.05__phase3,cisd_orthogonal_component,0.05,3,4.71238898038469,-0.00014216398857659488,-0.0001415933429921847,0.909296841639652,0.618370427350921,0.6621688081187646,0.06614382953536535,284812104.776499,273623312.3402094,0.04089122502244247,0.9999999999509226,29.20924143389024,1.5524356857846112e-10
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase0,rhf_orthogonal_component,0.001,0,0.0,-0.0002245069743162723,9.378523443859062e-05,0.5354082717532815,0.6607970467524339,0.6621688081187646,0.0020716188221366894,280015710.945909,273623312.3402094,0.023362039407488933,0.9999999999496125,29.20924143389024,7.628934546791604e-11
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase1,rhf_orthogonal_component,0.001,1,1.5707963267948966,-0.00015437528756544536,0.00014716691895023224,0.766772682881105,1.0242158258753251,0.6621688081187646,0.5467593962710864,140988871.55230746,273623312.3402094,0.4847337006979544,0.9999999999505638,29.20924143389024,1.5523199313872433e-09
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase2,rhf_orthogonal_component,0.001,2,3.141592653589793,-0.00011044833022393256,-6.434817184154763e-05,0.5796353132663478,0.6769968952691009,0.6621688081187646,0.022393212982144695,261535140.2548077,273623312.3402094,0.04417815127671543,0.99999999995109,29.20924143389024,8.834219219909829e-11
N2_active_eq_sto3g,current_m3,rhf_orthogonal_component__de0.001__phase3,rhf_orthogonal_component,0.001,3,4.71238898038469,-0.00018058001488294778,-0.00011772988152355887,0.7548062166450956,0.6033137133061961,0.6621688081187646,0.08888231232119947,293941785.02935785,273623312.3402094,0.07425709642709633,0.9999999999501188,29.20924143389024,1.5643640155537717e-09
