dataset_id,condition,molecule,analysis_cluster,variation_axis,pf,model,canonical_pass,failed_metric_count,failed_metrics,worst_normalized_metric,worst_normalized_value,normalized_eta_star,normalized_eta_min,normalized_eta_t,normalized_maximum_unseen_residual_over_epsilon
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,BeH2,active_space,two_term_center,refit_one_term,False,1,eta_star,eta_star,1.0955199791485593,1.0955199791485593,0.06634565675427417,0.3211461859429843,0.34872616908138226
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,BeH2,active_space,two_term_center,two_term,True,0,,eta_star,0.03157234892601995,0.03157234892601995,0.0,0.0,0.011769684359879929
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,BeH2,active_space,current_m3,original_one_term,False,1,eta_star,eta_star,2.387951528822877,2.387951528822877,0.3550052211329424,0.6925579464604592,0.8712298292585516
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,BeH2,active_space,current_m3,refit_one_term,False,1,eta_star,eta_star,2.3040998552462684,2.3040998552462684,0.3384853655445941,0.6735515495263322,0.8447436824626392
twelve_condition_holdout,BeH2_CAS4e5o,BeH2,BeH2,active_space,current_m3,two_term,True,0,,eta_star,0.2803558926457183,0.2803558926457183,0.0,0.0,0.1054895011973025
twelve_condition_holdout,H2O_CAS8e5o,H2O,H2O,active_space,two_term_center,original_one_term,True,0,,eta_star,0.7184824022467898,0.7184824022467898,0.0285665398062962,0.1852677465695729,0.22457982796704684
twelve_condition_holdout,H2O_CAS8e5o,H2O,H2O,active_space,two_term_center,refit_one_term,True,0,,eta_star,0.6940951382929519,0.6940951382929519,0.02724376906111381,0.18020668931696626,0.21837351531214738
twelve_condition_holdout,H2O_CAS8e5o,H2O,H2O,active_space,two_term_center,two_term,True,0,,eta_star,0.08741135486570191,0.08741135486570191,0.0,0.0,0.033018488698641095
twelve_condition_holdout,H2O_CAS8e5o,H2O,H2O,active_space,current_m3,original_one_term,False,2,eta_star;eta_t,eta_star,2.487057378976759,2.487057378976759,0.4365857434575293,1.1136969607688951,0.9444129597730474
twelve_condition_holdout,H2O_CAS8e5o,H2O,H2O,active_space,current_m3,refit_one_term,False,2,eta_star;eta_t,eta_star,2.415648305591441,2.415648305591441,0.4209311144123262,1.0975822892453846,0.9216894126973652
twelve_condition_holdout,H2O_CAS8e5o,H2O,H2O,active_space,current_m3,two_term,True,0,,eta_star,0.6103838953472842,0.6103838953472842,0.02828323609582739,0.4878048780487787,0.24011834599474635
